artist,song,video
 Frank Zappa & Captain Beefheart , Muffin Man,Shape Deuce
 Janis Joplin , Me and Bobby McGee,Any Day Now
 MGMT , Time To Pretend,Any Day Now
 Slayer , Abolish Government,Scarecrow - Disturb Not The Sleep of Death
 Built To Spill , In The Morning,Scarecrow - Disturb Not The Sleep of Death
 Ice A Cera , Roudnickej Den,Ketchup Kids Robotix
 EKP ," Mathilda
",Ketchup Kids Robotix
 Travis Barker , Original Score,Famous - Everywhere We Go
" RZA, Raekwon, Tom Morello ", Carry It,Famous - Everywhere We Go
 The Sword ," Maiden, Mother and Chrone",Alumni Boardshop - Threepeat
 Curtis Mayfield and the Impressions , People Get Ready,Alumni Boardshop - Threepeat
 Ariel Pink's Haunted Graffiti , For Kate I Wait,Krooked - Naughty
 Sol , The Box Car,411VM - Love Affair
  Tool , Hush,Union - Right To Skate
  Tool , Part Of Me,Union - Right To Skate
 The Deadly Syndrome , Emily Pants,"Cliché - Clé ""A Live and Unplugged video"""
 Mr Day , Soul On Wax,"Cliché - Clé ""A Live and Unplugged video"""
 Unwound , Sensible,Emerica - Kids In Emerica
 The Locust , That Halfie in Your Pants,Emerica - Kids In Emerica
 Bad Shit , Your Feelings I Care,Altamont - Skate Rock East Cost Tour
 The Goat & The Occasional Others ," Tantalizing
",Altamont - Skate Rock East Cost Tour
 Aaron Estes , I Was Dying,Calligraphy 2: The Pigeon Theory
 Polaris , Hey Sandy,Osiris - The Capital Tour
 13th Floor Elevators , You're Gonna Miss Me,Shape Deuce
 Digitalism , Pogo,Any Day Now
 Pixies , The Holiday Song,Any Day Now
 Cam'ron , What Means The World To You,Any Day Now
 David Bowie , Andy Warhol,Scarecrow - Disturb Not The Sleep of Death
 U.S. Bombs , All The Bodies,Scarecrow - Disturb Not The Sleep of Death
 The Misfits , She,Scarecrow - Disturb Not The Sleep of Death
 Andre Nickatina ," Scottie 15
",Ketchup Kids Robotix
 Heth & Jed ," Up At The Farm
",Ketchup Kids Robotix
 Kid Gloves , Bare Knuckle (In Flagranti Remix),Famous - Everywhere We Go
 Murs and Young Dro , SK8 Through Hollywood,Famous - Everywhere We Go
 Ariel Pink's Haunted Graffiti , Thespian City,Krooked - Naughty
 Neil Blender , Interlude 47,Krooked - Naughty
 Yelawolf , Doughnuts,411VM - Love Affair
 The Creation , Biff Bang Pow,411VM - Love Affair
  25 Of May , Crackdown,Union - Right To Skate
  25 Of May , 0898,Union - Right To Skate
 Beirut , Carousels,"Cliché - Clé ""A Live and Unplugged video"""
 Detect , Ailleurs,"Cliché - Clé ""A Live and Unplugged video"""
 Suffuse , Next Time,3rd Lair - Tales From The Fish House
 Grandaddy , Now It's On,3rd Lair - Tales From The Fish House
 Unwound , But Pardon,Emerica - Kids In Emerica
 Roxy Music , Love is the Drug,Emerica - Kids In Emerica
 Bad Shit , ?,Altamont - Skate Rock East Cost Tour
 The Goat & The Occasional Others ," Bathroom Blow 
",Altamont - Skate Rock East Cost Tour
  The Stylistics , People Make The World Go Round,Western Edition - Did It!
 Free The Robots , Diary,Calligraphy 2: The Pigeon Theory
 The Adams Apple , Familiar,Calligraphy 2: The Pigeon Theory
 Free The Robots , Yoga Fire,Calligraphy 2: The Pigeon Theory
 David Byrne , Like Humans Do,Shape Deuce
 Creedence Clearwater Revival , Commotion,Shape Deuce
 Elliott Smith , Bled White,Any Day Now
 David Bowie , The Jean Genie,Any Day Now
 Lil Wayne , It's Killing Me,Any Day Now
 Descendents , Everything Sucks,Scarecrow - Disturb Not The Sleep of Death
 Descendents , This Place,Scarecrow - Disturb Not The Sleep of Death
 Big L ," 98 Freestyle pt. 2
",Ketchup Kids Robotix
 Amelie z Montmartru ," Soir De Fete
",Ketchup Kids Robotix
 LA Riots , Control Your Tuba,Famous - Everywhere We Go
 Lil B , Droppin Changes,Famous - Everywhere We Go
  Jack Hendrix Experience , Turna,C1RCA Canada - Kybosh!
  Trinidad Cavalier , Oye Come Va,C1RCA Canada - Kybosh!
 Common , The Light,411VM - Issue 40
 Common , The 6th Sense,411VM - Issue 40
 Coconut Records , Nighttiming,Krooked - Naughty
 Ariel Pink's Haunted Graffiti , Interesting Results,Krooked - Naughty
 Ariel Pink's Haunted Graffiti , Every Night I Die at Miyagis,Krooked - Naughty
 Enoch , Krylon,Zoo York - Unbreakable: Mix Tape 2
 SumKid Majere , Popeyes Livin,Red Bull - Seek & Destroy III
 Stimulated Dummies , B,Red Bull - Seek & Destroy III
 DJ Krush , Only The Strong Survive,411VM - Issue 25
 Twin Panda , Simon Says,411VM - Love Affair
 The Downtown Struts , Nothin' But Trouble,411VM - Love Affair
  Poo Sticks , Young People,Union - Right To Skate
  Poo Sticks , Good Times,Union - Right To Skate
  Rollins Band , Grip,Union - Right To Skate
  Broken Spindles , Induction,Matix - Ams Going Green Tour
  The Faint , I Disappear,Matix - Ams Going Green Tour
 Poney Poney , Cross The Fader,"Cliché - Clé ""A Live and Unplugged video"""
 The Lost Brothers , Ribbons and Bows,"Cliché - Clé ""A Live and Unplugged video"""
 The Faint , Southern Belles In London Song,3rd Lair - Tales From The Fish House
 Puppies , Hey Little Mama,3rd Lair - Tales From The Fish House
 Unwound , Valentine Card,Emerica - Kids In Emerica
 Roxy Music , Street Life,Emerica - Kids In Emerica
 Bad Shit , ?,Altamont - Skate Rock East Cost Tour
 The Goat & The Occasional Others ," ?
",Altamont - Skate Rock East Cost Tour
 The Goat & The Occasional Others , ?,Altamont - Skate Rock East Cost Tour
  Maynard Fergusson , L'Dopa,Western Edition - Did It!
  Suzanne Vega , Tom's Diner,Western Edition - Did It!
 Free The Robots , Jazzhole,Calligraphy 2: The Pigeon Theory
 Cat Fur , Darin Lin Wood,Calligraphy 2: The Pigeon Theory
 Fat Joe , That White,Shape Deuce
 Janis Joplin , Kozmic Blues,Shape Deuce
 Black Kids , I'm Not Gonna Teach Your Boyfriend How To Dance With You,Any Day Now
 Camera Obscura , Let Me Go Home,Any Day Now
 Slayer , War Ensemble,Scarecrow - Disturb Not The Sleep of Death
 The Damned , Damned Damned Damned,Scarecrow - Disturb Not The Sleep of Death
 Social Distortion , Mainliner,Scarecrow - Disturb Not The Sleep of Death
 Arcade Fire ," Vampire/Forest Fire
",Ketchup Kids Robotix
 Electric President ," Adrift in Space, Or Whatever",Ketchup Kids Robotix
 GreenMoney , Suh Mi Stay (Karizma Remix),Famous - Everywhere We Go
" William ""BDR"" Harrison, Jam ""Don Choo"" Sutton and Roger ""Boobe"" Vincent ", I Make Money,Famous - Everywhere We Go
  Steve Miller Band , Jungle Love,C1RCA Canada - Kybosh!
  Afrodite , The Lamb,C1RCA Canada - Kybosh!
 2 Minutos , El Mejor Recuerdo,411VM - Issue 40
 DJ Frane , Every Cloud Can Cause Amazement,411VM - Issue 40
 Ariel Pink's Haunted Graffiti , Among Dreams,Krooked - Naughty
 Neil Blender , 007 theme,Krooked - Naughty
 DJ Craze , Zoo York Intro,Zoo York - Unbreakable: Mix Tape 2
 Percee,P ,Zoo York - Unbreakable: Mix Tape 2
 Track Team , Lil Mama,Red Bull - Seek & Destroy III
 The Firemen , Azz Dance,Red Bull - Seek & Destroy III
 Track Team , On They Fucking Ass,Red Bull - Seek & Destroy III
 Eileen Ivers , The Rights Of Man,411VM - Issue 25
 Dr Octagon , Bear Witness,411VM - Issue 25
 Mighty Clouds of Joy , I'll Go,411VM - Love Affair
" Johnny ""Guitar"" Watson & Larry Williams ", Too Late,411VM - Love Affair
  Rollins Band , Almost Real,Union - Right To Skate
  Bullet Lavolta , Rails,Union - Right To Skate
  Basehead , Outro,Union - Right To Skate
  The Faint , Desperate Guys,Matix - Ams Going Green Tour
 Brian Reitzell & Roger Manning , On The Subway,5th District - Jed?
 Uncle John & White Lock , Riverside,"Cliché - Clé ""A Live and Unplugged video"""
 Duracell , Turrican,"Cliché - Clé ""A Live and Unplugged video"""
 The Smiths , This Charming Man,3rd Lair - Tales From The Fish House
 The Shins , Saint Simon,3rd Lair - Tales From The Fish House
 My Bloody Valentine , Sometimes,Emerica - Kids In Emerica
  Ludacris , Roll Out,Western Edition - Did It!
 King Rulee , Mexdub,Calligraphy 2: The Pigeon Theory
 Phil Nisco , City to City,Calligraphy 2: The Pigeon Theory
 Rolling Stones , Time Is On My Side,Shape Deuce
 Rick Ross Feat. Gucci Mane , MC Hammer,Shape Deuce
 Pixies , Caribou,Shape Deuce
 The Kooks , She Moves In Her Own Way,Any Day Now
 Bobby Pickett and The Crypt , Kickers,Scarecrow - Disturb Not The Sleep of Death
 Nacho Lovers , Deeper (Mike Mind Remix),Famous - Everywhere We Go
 Dolla aka Jay Kahma , ?,Famous - Everywhere We Go
 LA Riots , The Drop (Duke Dumont Remix),Famous - Everywhere We Go
  The Adrews Sisters , Mr Sandman,C1RCA Canada - Kybosh!
 Die Dressierte Frau , Gert Wild,C1RCA Canada - Kybosh!
 Nevermore , The Lotus Eaters,411VM - Issue 40
 Generic , Victims Of Society,411VM - Issue 40
 First Blood , Armageddon,Turd Life
  Ted Nugent , Strangle Hold,FM II
  Muddy Waters , Mannish Boy,FM II
 The Wrinks , Barfight,Krooked - Naughty
 The Wrinks , I Get My Dinner From Dumpsters,Krooked - Naughty
 Clinic , Walking With Thee,Element - Elementality Volume 2
 Climber , Escape,Element - Elementality Volume 2
 Matt Rodriguez , A Little Something To Skate To,Supernaut - Infinite Momentum
 Miles Davis , Black Satin,Supernaut - Infinite Momentum
 Bonobo , Silver,411VM - Around The World II
 Grand Prix , Gully,Zoo York - Unbreakable: Mix Tape 2
 Shabaam Shadeeq , Sometimes,Zoo York - Unbreakable: Mix Tape 2
 Harold Hunter , Ditty Bop (Remix),Zoo York - Unbreakable: Mix Tape 2
 4,Ize ,Red Bull - Seek & Destroy III
 Northero League , Top North Bounce,Red Bull - Seek & Destroy III
 The Promise Ring , Why Did We Ever Meet?,411VM - Issue 25
 Dance Hall Crashers , The Truth About Me,411VM - Issue 25
 Squirrel Nut Zippers , Bedlam Ballroom,411VM - Issue 25
 Vavak , Will The Circle Be Unbroken,411VM - Love Affair
  Basehead , 2000 BC,Union - Right To Skate
 The Killers , Mr Brightside,5th District - Jed?
 Tom Petty & The Hearbreakers , I Need To Know,5th District - Jed?
 Bombay Bicycle Club , Evening/Morning,"Cliché - Clé ""A Live and Unplugged video"""
 Ish Marquez , I Perceive Things,"Cliché - Clé ""A Live and Unplugged video"""
 Angelic Animosity , The Sound Of Broken Glass,3rd Lair - Tales From The Fish House
 Rival Schools , The Switch,3rd Lair - Tales From The Fish House
  James Brown , Sex Machine,Western Edition - Did It!
  P.W. Esquire , M.U.S.I.C.,Western Edition - Did It!
  Britney Spears , Opps! I Did It Again,Western Edition - Did It!
 Noir Desir , Le Vent Nous Portera,Calligraphy 2: The Pigeon Theory
 The Adams Apple , Woot Woot,Calligraphy 2: The Pigeon Theory
 Q65 , I Was Young,Shape Deuce
 Donovan , Atlantis,Shape Deuce
 Yelawolf , I Wish (feat. Raekwon),Famous - Everywhere We Go
 Kill The Noise , My Word,Famous - Everywhere We Go
" Lil Wayne, Rick Ross, Swizz Beats, Game ", Can A Drummer Get Some,Famous - Everywhere We Go
 The Organ , Brother,C1RCA Canada - Kybosh!
 Ali Hassan Kuban , Habibi,C1RCA Canada - Kybosh!
 Consumed , Heavy Metal Winner,411VM - Issue 40
 Main Event , To The Sons,411VM - Issue 40
 The Beatles , Magical Mystery Tour,Turd Life
 Justice vs. Simian , We Are Your Friends,Turd Life
  Eric B. And Rakim , Microphone Fiend,FM II
  Motley Crue , Don't Go Away Mad (Just Go Away),FM II
 Jealous Sound , Hope For Us,411VM - Tampa Pro 2004
 Climber , Escape,Element - Elementality Volume 2
 Digdug , Tallest Trees,Element - Elementality Volume 2
 Howie B. , Sore Brown Eyes,Supernaut - Infinite Momentum
 Matt Pailes/Dr. Echo/Jacob Moss , Lions Bass Percussion,Supernaut - Infinite Momentum
 The High And Mighty F/ Mos Def & Mad Skillz , B,Supernaut - Infinite Momentum
 DJ Egadz , She Fluttered Her Wings,411VM - Around The World II
 Sutro Heights , Vibrations,411VM - Around The World II
 The Allies , Develop Klever and Infamous,Zoo York - Unbreakable: Mix Tape 2
 The Allies , Attack,Zoo York - Unbreakable: Mix Tape 2
 Bonobo , The Shark,Concreto
 Pentágono , Abre Alas,Concreto
 4,Ize ,Red Bull - Seek & Destroy III
 4,Ize ,Red Bull - Seek & Destroy III
 Pixies , U,411VM - Issue 25
 The Faction , Tenabrae,411VM - Issue 25
 Supple , Stayin Alive,411VM - Issue 25
 Gifthorse , Backseat Opera,411VM - Issue 25
  Rocket From The Crypt , Weak Superhero,Union - Right To Skate
  FYP , Seeing Is Believing,Union - Right To Skate
 Nina Simone , Sinnerman,5th District - Jed?
 Brian Jackson & Gil Scott,Heron ,5th District - Jed?
 Eskimohunter , My Super Pink Stars Will Make Us Click,"Cliché - Clé ""A Live and Unplugged video"""
 No Charge , Something To Live For,3rd Lair - Tales From The Fish House
 Devo , Smart Patrol,3rd Lair - Tales From The Fish House
 The Adams Apple , Limited Edition,Calligraphy 2: The Pigeon Theory
 Young Jeezy , Choppa N Da Paint,Shape Deuce
 Edward Sharpe & the Magnetic Zeros , Memory Of A Free Festival,Shape Deuce
 Howlin' Wolf , Spoonful,Shape Deuce
 The Cool Kids , Jump Down,Famous - Everywhere We Go
 Dante Ross for SD50 , Rain,Famous - Everywhere We Go
 DJ Craze , Don't Be Afraid,411VM - Issue 40
 Youth Brigade , Blown Away,411VM - Issue 40
 The Rolling Stones , Mother's Little Helper,Turd Life
 New Order , Temptation,Turd Life
 E,40 ,Turd Life
 The Go! Team , Get It Together,Few & Far Between
 DJ Romanowski , Strudel Strut,Streets: Barcelona
 DJ Kingmost (Kingone) , ?,Streets: Barcelona
 DJ Mutt , Crusade For Life,Streets: Barcelona
  Too Short , Talkin' Shit,FM II
 Hott Butter , Popcorn,Consolidated - Behold
 R.K.lck , This Is How We DOOM,Consolidated - Behold
 Siah And Yeshua Dapoed , The Cure For Stagnation,411VM - Issue 33
 Fun,da,411VM - Issue 33
 Despistado , Bubbles,411VM - Tampa Pro 2004
 Digdug , Zipperheads Unitei,Element - Elementality Volume 2
 Dana Dianda , Untitled Track,Element - Elementality Volume 2
 Lee Scratch Perry , Soul Fire,Supernaut - Infinite Momentum
 Morcheeba , Bullet Proof,Supernaut - Infinite Momentum
 Presage , Divide And Conquer,Supernaut - Infinite Momentum
 DJ Egadz , Monotony,411VM - Around The World II
 The Feeblez , Interlude,411VM - Around The World II
 A,Trak ,Zoo York - Unbreakable: Mix Tape 2
 Jeru Tha Damaja/Lil Dap , Enoch,Zoo York - Unbreakable: Mix Tape 2
 Chico Science & Nação Zumbi , Baião Ambiental,Concreto
 The Sound Providers , Autumn's Evening Breeze,Concreto
 The Dimwits , Retarded,Red Bull - Seek & Destroy III
 The Korovas , Yesterday,Red Bull - Seek & Destroy III
 Freestyle Fellowship , 7th Seal,411VM - Issue 25
 Arcade Fire , Headlights Look Like Diamonds,5th District - Jed?
 Mel Gibson &The Pants , A Mannequin American,3rd Lair - Tales From The Fish House
 Damian Marley , Road To Zion,3rd Lair - Tales From The Fish House
 Styles Of Beyond , Hollograms,411VM - Issue 40
 Ugly Duckling , Get On This,411VM - Issue 40
 Isaac Hayes , Two Cool Guys,Turd Life
 Reek Daddy , Turf Life,Turd Life
 Three Dog Night , Old Fashioned Love Song,Few & Far Between
 Matt Webb , In The Streets,Streets: Barcelona
 DJ Mutt , Going Down (feat. E,Streets: Barcelona
 Dick Dale , Nitro,Thrasher - The Truth Hurts
 Money Money 2020 , The Network,Consolidated - Behold
 S.O.A , Girl Problems,Consolidated - Behold
  Stranglers , Golden Brown,FM II
  Billy Joel , Pressure,FM II
 High Fidelity , Cream Of Beats (metro Mix),411VM - Issue 33
 Pete Rock , True Master,411VM - Issue 33
 2Short , Ambient,3-Collapse
 Unameit , Dumb Song (instrumental),3-Collapse
 Dead 50's , All,3-Collapse
 Time Spent Driving , Sleep And Matchbooks,411VM - Tampa Pro 2004
 Strike Anywhere , Infrared,411VM - Tampa Pro 2004
 Freestyle Fellowship , Cornbread,Element - Elementality Volume 2
 Matt Vucic , Card I Play,Element - Elementality Volume 2
 Dr. Echo , Nothing Is Mine,Supernaut - Infinite Momentum
 Storytellers , Storyteller Live,Supernaut - Infinite Momentum
 Michael Tello , Barrio Beats,411VM - Around The World II
 Ralph Myers , Menage A Trois,411VM - Around The World II
 Tragedy , Art Of Boards,Zoo York - Unbreakable: Mix Tape 2
 Bonobo , Sleepy Seven,Concreto
 Flu , Também,Concreto
 RJD2 , De L'Alouette,Concreto
 Contrafluxo , Pacifistas,Concreto
 Neon Leon , Space Ace,Red Bull - Seek & Destroy III
 Stimulated Dummies , Sexy Guitar,Red Bull - Seek & Destroy III
 Beck , Ghettochip Malfunction (Hell Yes remix by 8,5th District - Jed?
 Prefuse 73 , Choking You,5th District - Jed?
 Gorillaz , Dare,3rd Lair - Tales From The Fish House
 The Altar Of Rock , The Nameless One,3rd Lair - Tales From The Fish House
 Fluid Motion , Fluctuations,411VM - Issue 40
 Wizo , Anneliese Schmidt,411VM - Issue 40
 The Kinks , Sunny Afternoon,Ipath - Preview: Summer 2005
 Creedence Clearwater Revival , Suzie Q,Ipath - Preview: Summer 2005
 Belle & Sebastian , The Blues Are Still Blue,Few & Far Between
 Electric Light Orchestra , So Fine,Few & Far Between
 Matt Webb , Streets Of Spain,Streets: Barcelona
 DJ Design , Diwali,Streets: Barcelona
  Police , Regatta de Blanc,Gravity - Gravity Slides
  Backfat , Fat Frenzy,Gravity - Gravity Slides
 Grass Roots , I'd Wait for a Million Years,Green Apple - Modern Love
 Lee Dorsey , Coca Cola Commercial #2,Green Apple - Modern Love
 Sol , The Box Car,411VM - Issue 67
 Phi,Life Cypher ,411VM - Issue 67
  Kool DJ EQ ," Three Emcees (feat. Xzibit, DEL, Casual)",Thrasher - Vidiot
  Gifthorse , Bicycle Smiler,Thrasher - Vidiot
 NOFX , Soul Doubt,Thrasher - The Truth Hurts
 Pupils , Fountain Flame,Consolidated - Behold
 The Burns , Hit of the Summer,Consolidated - Behold
  UMC , One To Grow On,FM II
  Placebo , Pure Morning,FM II
  Jurassic 5 , Break,FM II
 Nevermore , Dreaming Neon Black,411VM - Issue 33
 Gloritone , 9 Summers,411VM - Issue 33
 Erobique , Nochmal Tanzen,411VM - Issue 33
 The Kinks , This Time Tomorrow,3-Collapse
 Airbourne , Diamond In The Rough,3-Collapse
 Jets To Brazil , Mik & Apples,411VM - Tampa Pro 2004
 Denali , Gunner,411VM - Tampa Pro 2004
 Clinic , Walking With Thee,Element - Elementality Volume 2
 Ralph Myers , A Special Morning,411VM - Around The World II
 Enoch , Krylon,Zoo York - Unbreakable: Mix Tape 2
 Skam , Freestyle,Zoo York - Unbreakable: Mix Tape 2
 Nação Zumbi , Na Balada do Rio Salgado,Concreto
 Mundo Livre S/A , Melô das Musas,Concreto
 Stimulated Dummies , B,Red Bull - Seek & Destroy III
 Phofo , Farrago,Red Bull - Seek & Destroy III
  Phofo , Sputnik Bob,Red Bull - Seek & Destroy III
 The Coral , Dreaming Of You,5th District - Jed?
 Ian Brown , Golden Gaze,5th District - Jed?
 Laid Back , Backerman,5th District - Jed?
 Moby , Extreme Ways,3rd Lair - Tales From The Fish House
 Queens Of The Stone Age , Avon,3rd Lair - Tales From The Fish House
 The Living Legends , Sticky Sundays,411VM - Issue 40
 The People Under The Stairs , The Next Step Two,411VM - Issue 40
 Gerry Mulligan , Open Country,411VM - Issue 40
 Gang Starr , I'm The Man,Ipath - Preview: Summer 2005
 The Rolling Stones , Street Fighting Man,Ipath - Preview: Summer 2005
 Haunted Graffiti , Every Night I Die At Miyagis,Few & Far Between
 Mophono , ESL,Streets: Barcelona
 Prawgress Of The North West Order , The Come Along,Streets: Barcelona
 The D,Boyz (DJ Mutt & Lethal D) ,Streets: Barcelona
  De La Soul , Egoristic Instrumental,Gravity - Gravity Slides
  Janes Addiction , Oceansize,Gravity - Gravity Slides
 13th Floor Elevators , Rollercoaster,Green Apple - Modern Love
 The Charmels , As Long As I Got You,Green Apple - Modern Love
 Flevans , Hands Down,411VM - Issue 67
  Orphan , Orphan 4 ,411VM - Issue 67
  DJ Ming And The Mac , Sugar Kane,Thrasher - Vidiot
  The Pharoahs , 180,Thrasher - Vidiot
 Vice Squad , Last Rockers,The Greens Family - Family Madderz
 Coffin Break , Hole In The Sky,Thrasher - The Truth Hurts
 Tar , Teetering,Thrasher - The Truth Hurts
 Cosmic Psychos , Lost Cause,Thrasher - The Truth Hurts
 Napalm Death , Scum,Consolidated - Behold
 Sellthehousesellthecar.... , Dillinger Four,Consolidated - Behold
  The Rolling Stones , Mother's Little Helper,FM II
  Van Halen , Little Guitars,FM II
  Golden Earings , Radar Love,FM II
 Let's Disco! , Introduction,Blockhead - Adventures In Cheese
 A Tribe Called Quest , Can I Kick It?,411VM - Issue 33
 2Short , Can't Have,3-Collapse
 Jethro Tull , Up To Me,3-Collapse
 Lokonon André & Les Volcans , Mi Kple Dogbekpo,3-Collapse
 Euphone , My Ladies Can't Remember The 80's,411VM - Tampa Pro 2004
 Matt Costa , Fourth Time Around,411VM - Tampa Pro 2004
 FM3 , Journey (Digital Cutup Lounge remix),411VM - Around The World II
 Digital Cutup Lounge , Singapore Face,411VM - Around The World II
 The Allies , Klever,Zoo York - Unbreakable: Mix Tape 2
 Jorge Ben , Tá na Hora,Concreto
 Bad Luck 13 , Hooked On The Drugs,Red Bull - Seek & Destroy III
" Mike ""MRZ"" Ruiz & Dash ", Quick Livin,Red Bull - Seek & Destroy III
 Division Of Laura Lee , Does Compute,3rd Lair - Tales From The Fish House
 Curtis Mayfield , Pusherman,411VM - Issue 40
 Hip Hop For Respect , Protective Custody (instrumental),411VM - Issue 40
 Django Reinhardt , St Louis Blues,Ipath - Preview: Summer 2005
 Reverend Horton Heat , Bullet,Acme - A Go-Go
 Gary & Larry , Garlic Bread,Acme - A Go-Go
 Plaid , Ooh Be Do,New Deal - 7 Year Glitch
 The Hollies , Long Cool Woman In A Black Dress,Few & Far Between
 Al Green , Here I Am (Come And Take Me),Few & Far Between
  Channel Live , Mad Izm,Planet Earth - Hiatus
  Black Sheep , E.F.F.E.C.T.,Planet Earth - Hiatus
 DJ Design , Huffy Rock,Streets: Barcelona
 DJ Design , Targas (instrumental),Streets: Barcelona
 Smut Peddlers , Fuck You,Big Brother - Shit
 Last Poets , Wake Up Niggers,Big Brother - Shit
 MC5 , Looking at You,Big Brother - Shit
  The Overlaps , Hardboiled,Gravity - Gravity Slides
  Beck , Burro,Gravity - Gravity Slides
 Willie Bobo , Fried Neckbones And Some Home Fries,Green Apple - Modern Love
  Joey Ramone , What A Wonderful World,Underworld - Under Rated
  Beastie Boys , Shadrach,Underworld - Under Rated
  Orphan , Orphan 1 ,411VM - Issue 67
  DJ Egadz , Nirvana,411VM - Issue 67
  Muddy Frankenstein , Leave It And Run,Thrasher - Vidiot
  DJ's Wally & Swingsett , Wiggin,Thrasher - Vidiot
 Metallica , Phantom Lord,The Greens Family - Family Madderz
 Dr. Dre & Ice Cube , Natural Born Killaz,The Greens Family - Family Madderz
 Louis Armstrong , The Bare Necessities,The Greens Family - Family Madderz
 Supersuckers , Coattail Rider,Thrasher - The Truth Hurts
 Brokin English Klik , Who's Da Gangsta,Thrasher - The Truth Hurts
" 1,000 Things ", Slip,Consolidated - Behold
 Shellac , Crow,Consolidated - Behold
  Bob Segar , Still The Same,FM II
  Nirvana , Scoff,FM II
 Peter Brown , Do Ya Wanna Get Funky With Me,Blockhead - Adventures In Cheese
 Jaywalkers , That Time Of Day (again),411VM - Issue 33
 Black Attack , Correct Technique,411VM - Issue 33
 The Vents , Undeniable True,411VM - Issue 33
 Zyann , Collapse,3-Collapse
 Men Without Hats , Pop Goes The World,3-Collapse
 The Feeblez , Ducks,411VM - Around The World II
 Digital Cutup Lounge , Dream Of Gabriel Valley,411VM - Around The World II
 RJD2 , Bus Stop Bitties,Concreto
  Sinopsis , Beat2,Red Bull - Seek & Destroy III
 Bad Brains , Revolution,3rd Lair - Tales From The Fish House
 Burning Spear , Friends,3rd Lair - Tales From The Fish House
 Isouljahs , To De Top,Ipath - Preview: Summer 2005
 Sizzla , ?,Ipath - Preview: Summer 2005
 Storytellers , ?,Ipath - Preview: Summer 2005
 Musical Youth , Pass The Duche,Acme - A Go-Go
 Nic Geronimo , The Natural,Acme - A Go-Go
 The Rolling Stones , Let's Spend The Night Together,Few & Far Between
 Caustic Resin , Shit Brown Eyes,New Deal - 7 Year Glitch
 De La Soul , Say No Go (New Keys Vocals),New Deal - 7 Year Glitch
 Aromadozeski Therapy , Strudel Strut (feat. Romanowski & Devious Doze),New Deal - 7 Year Glitch
  A Tribe Called Quest , If The Papes Come,Planet Earth - Hiatus
  Fluf , Sticky Bun,Planet Earth - Hiatus
 DJ Design , Happy Drunk (instrumental),Streets: Barcelona
 Mophono , Para tu,Streets: Barcelona
 Sol , The Box Car,411VM - Issue 62
 Vanilla Ice , Yo Vanilla,Big Brother - Shit
 Drink Small , Titty Man,Big Brother - Shit
 Devo , Midget,Big Brother - Shit
  Soul Bossa Trio , Sally,Gravity - Gravity Slides
  Eek A Mouse , Get Away,Gravity - Gravity Slides
 Jefferson Airplane , Today,Arcade - Gumbo
 2Pac , Can't C Me,Arcade - Gumbo
 Cold Crush Brothers , Cuckoo Clocking,Green Apple - Modern Love
